filename,count,deployment_id,timestamp,sun_cell_count,wind_gust_mean,wind_gust_mode,wind_gust_var,wind_observations,wind_speed_mean,wind_speed_mode,wind_speed_var
SC4_20231204060001.JPG,420,SC4,20231204060001,0,0.0,0.0,0.0,10,0.0,0.0,0.0
SC4_20231204061001.JPG,420,SC4,20231204061001,0,0.0,0.0,0.0,10,0.0,0.0,0.0
SC4_20231204062001.JPG,420,SC4,20231204062001,0,0.0,0.0,0.0,10,0.0,0.0,0.0
SC4_20231204063001.JPG,420,SC4,20231204063001,0,0.0,0.0,0.0,10,0.0,0.0,0.0
SC4_20231204064001.JPG,608,SC4,20231204064001,0,0.0,0.0,0.0,10,0.0,0.0,0.0
SC4_20231204065001.JPG,598,SC4,20231204065001,0,0.0,0.0,0.0,10,0.0,0.0,0.0
SC4_20231204070001.JPG,607,SC4,20231204070001,0,0.0,0.0,0.0,10,0.0,0.0,0.0
SC4_20231204071001.JPG,607,SC4,20231204071001,0,0.0,0.0,0.0,10,0.0,0.0,0.0
SC4_20231204072001.JPG,607,SC4,20231204072001,0,0.0,0.0,0.0,10,0.0,0.0,0.0
SC4_20231204073001.JPG,607,SC4,20231204073001,0,0.0,0.0,0.0,10,0.0,0.0,0.0
SC4_20231204074001.JPG,610,SC4,20231204074001,0,0.0,0.0,0.0,10,0.0,0.0,0.0
SC4_20231204075001.JPG,609,SC4,20231204075001,0,0.0,0.0,0.0,10,0.0,0.0,0.0
SC4_20231204080001.JPG,609,SC4,20231204080001,1,0.0,0.0,0.0,10,0.0,0.0,0.0
SC4_20231204081001.JPG,609,SC4,20231204081001,7,0.0,0.0,0.0,10,0.0,0.0,0.0
SC4_20231204082001.JPG,608,SC4,20231204082001,4,0.0,0.0,0.0,10,0.0,0.0,0.0
SC4_20231204083001.JPG,516,SC4,20231204083001,1,0.0,0.0,0.0,10,0.0,0.0,0.0
SC4_20231204084001.JPG,505,SC4,20231204084001,18,0.0,0.0,0.0,10,0.0,0.0,0.0
SC4_20231204085001.JPG,508,SC4,20231204085001,29,0.0,0.0,0.0,10,0.0,0.0,0.0
SC4_20231204090001.JPG,516,SC4,20231204090001,28,0.0,0.0,0.0,10,0.0,0.0,0.0
SC4_20231204091001.JPG,507,SC4,20231204091001,28,1.39,2.0,0.62,10,0.86,0.9,0.23
SC4_20231204092001.JPG,512,SC4,20231204092001,25,1.5,0.0,2.07,10,0.85,0.0,1.01
SC4_20231204093001.JPG,425,SC4,20231204093001,20,1.66,2.0,1.08,10,1.14,1.3,0.49
SC4_20231204094001.JPG,226,SC4,20231204094001,19,2.04,2.7,1.43,10,1.38,2.2,0.74
SC4_20231204095001.JPG,279,SC4,20231204095001,18,2.15,2.7,0.3,10,1.52,1.8,0.17
SC4_20231204100001.JPG,246,SC4,20231204100001,12,2.16,2.7,0.24,10,1.51,1.6,0.1
SC4_20231204101001.JPG,64,SC4,20231204101001,10,2.72,2.9,0.14,10,2.2,2.5,0.2
SC4_20231204102001.JPG,36,SC4,20231204102001,9,3.07,2.7,0.23,10,2.19,1.8,0.15
SC4_20231204103001.JPG,35,SC4,20231204103001,8,0.51,0.0,0.73,10,0.27,0.0,0.2
SC4_20231204104001.JPG,35,SC4,20231204104001,8,0.49,0.0,0.71,10,0.22,0.0,0.22
SC4_20231204105001.JPG,34,SC4,20231204105001,7,3.46,4.5,0.94,10,2.65,2.5,0.66
SC4_20231204110001.JPG,34,SC4,20231204110001,7,3.36,3.6,0.26,10,2.49,2.7,0.14
SC4_20231204111001.JPG,34,SC4,20231204111001,7,3.39,2.9,0.33,10,2.56,2.2,0.11
SC4_20231204112001.JPG,35,SC4,20231204112001,8,3.11,2.9,0.52,10,2.25,2.0,0.26
SC4_20231204113001.JPG,35,SC4,20231204113001,8,3.05,3.6,0.52,10,2.18,2.9,0.39
SC4_20231204114001.JPG,36,SC4,20231204114001,9,2.62,2.7,0.75,10,1.7,1.8,0.41
SC4_20231204115001.JPG,36,SC4,20231204115001,9,2.71,2.0,0.67,10,1.85,1.6,0.27
SC4_20231204120001.JPG,35,SC4,20231204120001,8,2.75,2.0,0.77,10,1.63,1.3,0.3
SC4_20231204121001.JPG,34,SC4,20231204121001,7,2.9,2.7,0.14,10,1.8,1.8,0.09
SC4_20231204122001.JPG,34,SC4,20231204122001,7,2.38,2.0,0.41,10,1.55,1.8,0.25
SC4_20231204123001.JPG,34,SC4,20231204123001,7,2.6,2.0,0.48,10,1.84,2.0,0.27
SC4_20231204124001.JPG,36,SC4,20231204124001,9,2.91,2.7,0.3,10,1.92,2.0,0.11
SC4_20231204125001.JPG,37,SC4,20231204125001,8,2.22,2.0,0.56,10,1.54,1.1,0.18
SC4_20231204130001.JPG,36,SC4,20231204130001,8,2.69,2.9,0.44,10,1.88,1.6,0.23
SC4_20231204131001.JPG,37,SC4,20231204131001,8,3.57,4.0,0.43,10,2.46,2.5,0.31
SC4_20231204132001.JPG,63,SC4,20231204132001,7,3.71,4.0,0.26,10,2.4,2.7,0.3
SC4_20231204133001.JPG,59,SC4,20231204133001,4,2.14,1.6,0.3,10,1.28,0.9,0.18
SC4_20231204134001.JPG,62,SC4,20231204134001,1,1.84,2.7,0.7,10,1.11,1.3,0.35
SC4_20231204135001.JPG,62,SC4,20231204135001,0,2.47,3.6,1.27,10,1.56,1.3,0.61
SC4_20231204140001.JPG,80,SC4,20231204140001,0,1.86,2.7,0.92,10,1.08,1.3,0.56
SC4_20231204141001.JPG,78,SC4,20231204141001,0,0.0,0.0,0.0,10,0.0,0.0,0.0
SC4_20231204142001.JPG,80,SC4,20231204142001,0,0.61,0.0,0.47,10,0.18,0.0,0.11
SC4_20231204143001.JPG,78,SC4,20231204143001,0,1.12,0.0,1.84,10,0.67,0.0,0.75
SC4_20231204144001.JPG,86,SC4,20231204144001,0,0.0,0.0,0.0,10,0.0,0.0,0.0
SC4_20231204145001.JPG,79,SC4,20231204145001,0,0.42,0.0,0.52,10,0.15,0.0,0.09
SC4_20231204150001.JPG,88,SC4,20231204150001,0,0.94,0.0,1.14,10,0.43,0.0,0.36
SC4_20231204151001.JPG,88,SC4,20231204151001,0,0.0,0.0,0.0,10,0.0,0.0,0.0
SC4_20231204152001.JPG,98,SC4,20231204152001,0,1.57,2.0,0.61,10,0.87,0.0,0.54
SC4_20231204153001.JPG,188,SC4,20231204153001,0,0.29,0.0,0.44,10,0.16,0.0,0.26
SC4_20231204154001.JPG,197,SC4,20231204154001,0,0.4,0.0,0.49,10,0.13,0.0,0.17
SC4_20231204155001.JPG,187,SC4,20231204155001,0,0.47,0.0,0.62,10,0.26,0.0,0.21
SC4_20231204160001.JPG,188,SC4,20231204160001,0,0.0,0.0,0.0,10,0.0,0.0,0.0
SC4_20231204161001.JPG,197,SC4,20231204161001,0,1.25,0.0,1.26,10,0.61,0.0,0.36
SC4_20231204162001.JPG,205,SC4,20231204162001,0,0.31,0.0,0.47,10,0.15,0.0,0.17
SC4_20231204163001.JPG,204,SC4,20231204163001,0,0.0,0.0,0.0,10,0.0,0.0,0.0
SC4_20231204164000.JPG,186,SC4,20231204164000,0,0.0,0.0,0.0,10,0.0,0.0,0.0
SC4_20231204165001.JPG,186,SC4,20231204165001,0,0.0,0.0,0.0,11,0.0,0.0,0.0
SC4_20231204170001.JPG,186,SC4,20231204170001,0,0.0,0.0,0.0,10,0.0,0.0,0.0
SC4_20231204171001.JPG,194,SC4,20231204171001,0,0.0,0.0,0.0,10,0.0,0.0,0.0
